"","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"1","3213990384","1267341550251470848","2020-06-01 06:25:46","sserd_org","We all just witnessed the historic rocket launch of @SpaceX crew dragon onboard the Falcon 9 rocket. How is Faclon 9 different from @NASA's other rockets?
Learn all about Rockets on our online space course on Rockets from 8th to 12th June.
#rockets #onlinelearning #learnathome https://t.co/zxDGZltmyX","Twitter for Android","277",NA,NA,NA,"FALSE","FALSE","1","0","NA","NA","c(""rockets"", ""onlinelearning"", ""learnathome"")",NA,NA,NA,NA,"http://pbs.twimg.com/media/EZaAav9VAAEZegY.jpg","https://t.co/zxDGZltmyX","https://twitter.com/sserd_org/status/1267341550251470848/photo/1","photo","http://pbs.twimg.com/media/EZaAav9VAAEZegY.jpg","https://t.co/zxDGZltmyX","https://twitter.com/sserd_org/status/1267341550251470848/photo/1",NA,"c(""34743251"", ""11348282"")","c(""SpaceX"", ""NASA"")","en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/sserd_org/status/1267341550251470848","SSERD","Bengaluru, India","Non - Governmental Organization working towards Space Education 🚀🔭🌖☄️🌍✈️🛸🛰️👨‍🚀👩‍🚀","https://t.co/3CZW7wMegK","FALSE","174","68","0","125","96","1431884524","FALSE","https://t.co/3CZW7wMegK","http://www.sserd.org","NA","https://pbs.twimg.com/profile_banners/3213990384/1481178492","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/953176931146481664/jy8lD5I-_normal.jpg"
"2","844515577746014210","1267340581262340096","2020-06-01 06:21:55","AusCompAcademy","Our team are underway with this week's webinar, covering specification: the complex process of delivering what the customer really wants. #digitaltechnologies #onlinelearning . Any questions on this? #asktheACA https://t.co/JSzMUFw2Ib","Twitter Web App","210",NA,NA,NA,"FALSE","FALSE","0","0","NA","NA","c(""digitaltechnologies"", ""onlinelearning"", ""asktheACA"")",NA,NA,NA,NA,"http://pbs.twimg.com/media/EZZ_Qw7U8AM_zVk.png","https://t.co/JSzMUFw2Ib","https://twitter.com/AusCompAcademy/status/1267340581262340096/photo/1","photo","http://pbs.twimg.com/media/EZZ_Qw7U8AM_zVk.png","https://t.co/JSzMUFw2Ib","https://twitter.com/AusCompAcademy/status/1267340581262340096/photo/1",NA,NA,NA,"en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/AusCompAcademy/status/1267340581262340096","Australian Computing Academy","Australia","Helping teachers implement the Digital Technologies Curriculum in classrooms across the country.","https://t.co/NcWZRUekUE","FALSE","1833","2105","9","2823","2815","1490183178","FALSE","https://t.co/NcWZRUekUE","https://aca.edu.au/","NA","https://pbs.twimg.com/profile_banners/844515577746014210/1578363492","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1183933532286017536/szMI6Cju_normal.jpg"
"3","844515577746014210","1267308662667776000","2020-06-01 04:15:05","AusCompAcademy","Catch up on our past PD webinars (we have one today too at 4pm!) via ACA's YouTube Channel! We also have some awesome explainer videos on our resources.👩‍🏫#remoteteaching #digitaltechnologies #onlinelearning #AussieEd
We hope you can share and subscribe👉https://t.co/k3zoCkWc7b","Crowdfire App","277",NA,NA,NA,"FALSE","FALSE","0","2","NA","NA","c(""remoteteaching"", ""digitaltechnologies"", ""onlinelearning"", ""AussieEd"")",NA,"youtube.com/channel/UC9rG5…","https://t.co/k3zoCkWc7b","https://www.youtube.com/channel/UC9rG51ZJQlZ313DFzwRODVA/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/AusCompAcademy/status/1267308662667776000","Australian Computing Academy","Australia","Helping teachers implement the Digital Technologies Curriculum in classrooms across the country.","https://t.co/NcWZRUekUE","FALSE","1833","2105","9","2823","2815","1490183178","FALSE","https://t.co/NcWZRUekUE","https://aca.edu.au/","NA","https://pbs.twimg.com/profile_banners/844515577746014210/1578363492","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1183933532286017536/szMI6Cju_normal.jpg"
"4","143367528","1267340313191829510","2020-06-01 06:20:51","SnathNamboodiri","Haha.. when the ghost of past visits you #onlinelearning https://t.co/ULBqvrwICG","Twitter for Android","56",NA,NA,NA,"TRUE","FALSE","0","0","NA","NA","onlinelearning",NA,"twitter.com/inkoshi_/statu…","https://t.co/ULBqvrwICG","https://twitter.com/inkoshi_/status/1267321336352747520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","1267321336352747520","ജൂൺ 1
പിള്ളേർക്ക് ക്ലാസുകൾ തുടങ്ങി

എങ്ങനെ?

ഓൺലൈൻ..

ങും.. https://t.co/tRrR6qYKJH","1590987926","Twitter for Android","69","14","800394500484911105","inkoshi_","ɪɴᴋᴏꜱʜɪ(Aatma Nirbhar)🇮🇳","4738","903","50121","","EDM Hindu!🤘Yathecchasi tatha kuru!🧘","FALSE",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/SnathNamboodiri/status/1267340313191829510","Sreenath Namboodiri","Kerala, India","Asst Prof of Law, @chinmaya_vv | Fellow @cedlkerala | Editor at Elenchus Law Review  | Views are personal ; RT not Endorsement.","https://t.co/c3R5sYyPhN","FALSE","214","658","1","885","316","1273738788","FALSE","https://t.co/c3R5sYyPhN","http://cedl.ac.in","NA","https://pbs.twimg.com/profile_banners/143367528/1584730182","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1241074635459792896/6eS9GyhO_normal.jpg"
"5","45536741","1267339966306234368","2020-06-01 06:19:28","Benoit_Anger","« As more learning moves online, expect a major effort to develop and deploy a Facebook for learning »
https://t.co/Twrl0HmiwW’s-future v/ @insidehighered 
#FutureOfEducation #OnlineLearning #HigherEd https://t.co/V7IqrRzUl3","Twitter Web App","200",NA,NA,NA,"FALSE","FALSE","1","0","NA","NA","c(""FutureOfEducation"", ""OnlineLearning"", ""HigherEd"")",NA,"insidehighered.com/blogs/leadersh…","https://t.co/Twrl0HmiwW","https://www.insidehighered.com/blogs/leadership-higher-education/10-predictions-higher-education","http://pbs.twimg.com/media/EZZ-ncLWoAcsxQb.jpg","https://t.co/V7IqrRzUl3","https://twitter.com/Benoit_Anger/status/1267339966306234368/photo/1","photo","http://pbs.twimg.com/media/EZZ-ncLWoAcsxQb.jpg","https://t.co/V7IqrRzUl3","https://twitter.com/Benoit_Anger/status/1267339966306234368/photo/1",NA,"16045268","insidehighered","en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/Benoit_Anger/status/1267339966306234368","Benoit Anger","Versailles (France)","Associate Dean Corporate Development & Communication @neomabs | #HigherEd #SocialMedia #EdTech | ex @ClubMedFR | Best tweets https://t.co/kog4TNhIsN","https://t.co/k022N46PaD","FALSE","7018","2063","1770","86387","16752","1244455855","FALSE","https://t.co/k022N46PaD","https://linktr.ee/Benoit_Anger","NA","https://pbs.twimg.com/profile_banners/45536741/1448707062","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1191375685308297216/bzgZVP5W_normal.jpg"
"6","83071000","1267339280147337216","2020-06-01 06:16:45","officialFLOREDy","Three (3) @zoom_us sessions today for the Tourism students of @USTLegazpi. #OnlineLearning https://t.co/HDqRQVPt0r","Twitter for iPhone","90",NA,NA,NA,"FALSE","FALSE","0","0","NA","NA","OnlineLearning",NA,NA,NA,NA,"http://pbs.twimg.com/media/EZZ9hy2VAAAROsf.jpg","https://t.co/HDqRQVPt0r","https://twitter.com/officialFLOREDy/status/1267339280147337216/photo/1","photo","c(""http://pbs.twimg.com/media/EZZ9hy2VAAAROsf.jpg"", ""http://pbs.twimg.com/media/EZZ9hy1UcAEycPM.jpg"", ""http://pbs.twimg.com/media/EZZ9hy2UMAEix3x.jpg"")","c(""https://t.co/HDqRQVPt0r"", ""https://t.co/HDqRQVPt0r"", ""https://t.co/HDqRQVPt0r"")","c(""https://twitter.com/officialFLOREDy/status/1267339280147337216/photo/1"", ""https://twitter.com/officialFLOREDy/status/1267339280147337216/photo/1"", ""https://twitter.com/officialFLOREDy/status/1267339280147337216/photo/1"")",NA,"c(""522701657"", ""2842106845"")","c(""zoom_us"", ""USTLegazpi"")","en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA","https://api.twitter.com/1.1/geo/id/0088e1b1066e791e.json","Legazpi City","Legazpi City, Bicol Region","city","Republic of the Philippines","PH","c(NA, NA)","c(NA, NA)","c(123.6887463, 123.8421512, 123.8421512, 123.6887463, 13.0319222, 13.0319222, 13.2552019, 13.2552019)","https://twitter.com/officialFLOREDy/status/1267339280147337216","Flored Jay N. Medina","Legazpi City,Albay,Philippines","The Versatile Host of Bicolandia","https://t.co/sZzhqQG6Mi","FALSE","2874","503","47","45327","1022","1255760047","FALSE","https://t.co/sZzhqQG6Mi","http://Instagram.com/officialFLOREDy","NA","https://pbs.twimg.com/profile_banners/83071000/1589456800","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1254117905525948416/dwzSjLW7_normal.jpg"
"7","1267332622943911937","1267337782986489857","2020-06-01 06:10:48","joarahim","#stackskills is amazing, #Marketing, #coding, #merch, #onlinelearning, #programming, #teespring, #redbubble, #LearningNeverStops... https://t.co/xv7S7Hpgue","Twitter for Android","155",NA,NA,NA,"FALSE","FALSE","0","0","NA","NA","c(""stackskills"", ""Marketing"", ""coding"", ""merch"", ""onlinelearning"", ""programming"", ""teespring"", ""redbubble"", ""LearningNeverStops"")",NA,"pin.it/qWDIwlL","https://t.co/xv7S7Hpgue","https://pin.it/qWDIwlL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/joarahim/status/1267337782986489857","Joarahim","Austin, TX","RedBubble: https://t.co/GfUMaX8LZK
TeeSpring:
https://t.co/UG8Wf0poKR","https://t.co/xC0kJrh4om","FALSE","0","21","0","5","0","1590990633","FALSE","https://t.co/xC0kJrh4om","https://www.pinterest.com/armand0725","NA","https://pbs.twimg.com/profile_banners/1267332622943911937/1590990889",NA,"http://pbs.twimg.com/profile_images/1267333928551096321/lHi2nsmy_normal.jpg"
"8","226310002","1267337220744241152","2020-06-01 06:08:34","IAM__Network","Ed tech companies promise results, but their claims are often based on shoddy research 

READ MORE: https://t.co/mVjjeiRvAo

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School https://t.co/vQCbw1EDJ8","IAMBLOG2TWITTER","258",NA,NA,NA,"FALSE","FALSE","0","0","NA","NA","c(""ContinuingEducation"", ""DigitalLearning"", ""Education"", ""EduTech"", ""HigherEducation"", ""Learning"", ""LifelongLearning"", ""Media"", ""OnlineLearning"", ""School"")",NA,"blog.iammarketingmedia.com/ed-tech-compan…","https://t.co/mVjjeiRvAo","https://blog.iammarketingmedia.com/ed-tech-companies-promise-results-but-their-claims-are-often-based-on-shoddy-research/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter","http://pbs.twimg.com/media/EZZ8fG5X0AAWFRt.jpg","https://t.co/vQCbw1EDJ8","https://twitter.com/IAM__Network/status/1267337220744241152/photo/1","photo","http://pbs.twimg.com/media/EZZ8fG5X0AAWFRt.jpg","https://t.co/vQCbw1EDJ8","https://twitter.com/IAM__Network/status/1267337220744241152/photo/1",NA,NA,NA,"en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/IAM__Network/status/1267337220744241152","IAM Platform","Worldwide","Curation | Tools | Tips | Services

IAM Platform powers IAM Network:

GO: https://t.co/OJVc7LULBT

Blog | Social | Podcast | Code Trove","https://t.co/T1FCdoOFoB","FALSE","17400","14964","3292","646445","65486","1292275469","FALSE","https://t.co/T1FCdoOFoB","https://www.iammarketingmedia.com","NA","https://pbs.twimg.com/profile_banners/226310002/1584072260","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/701708113653669888/Nzm67hhC_normal.png"
"9","226310002","1267272126450536448","2020-06-01 01:49:54","IAM__Network","U.S. PreK-12 Policy &amp; Budget Assessment 2020-2021 – A Look at Digital Initiatives and Remote Learning D 

READ MORE: https://t.co/dTdJHsKXW8

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/kAbjIFjJ9C","IAMBLOG2TWITTER","280",NA,NA,NA,"FALSE","FALSE","0","0","NA","NA","c(""ContinuingEducation"", ""DigitalLearning"", ""Education"", ""EduTech"", ""HigherEducation"", ""Learning"", ""LifelongLearning"", ""Media"", ""OnlineLearning"", ""School"")",NA,"blog.iammarketingmedia.com/u-s-prek-12-po…","https://t.co/dTdJHsKXW8","https://blog.iammarketingmedia.com/u-s-prek-12-policy-budget-assessment-2020-2021-a-look-at-digital-initiatives-and-remote-learning-during-the-covid-19-crisis/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter","http://pbs.twimg.com/media/EZZBSH1WAAEwjFi.jpg","https://t.co/kAbjIFjJ9C","https://twitter.com/IAM__Network/status/1267272126450536448/photo/1","photo","http://pbs.twimg.com/media/EZZBSH1WAAEwjFi.jpg","https://t.co/kAbjIFjJ9C","https://twitter.com/IAM__Network/status/1267272126450536448/photo/1",NA,NA,NA,"en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/IAM__Network/status/1267272126450536448","IAM Platform","Worldwide","Curation | Tools | Tips | Services

IAM Platform powers IAM Network:

GO: https://t.co/OJVc7LULBT

Blog | Social | Podcast | Code Trove","https://t.co/T1FCdoOFoB","FALSE","17400","14964","3292","646445","65486","1292275469","FALSE","https://t.co/T1FCdoOFoB","https://www.iammarketingmedia.com","NA","https://pbs.twimg.com/profile_banners/226310002/1584072260","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/701708113653669888/Nzm67hhC_normal.png"
"10","226310002","1267332748508790790","2020-06-01 05:50:47","IAM__Network","North Callaway school board profiles: Schmidt and Wall 

READ MORE: https://t.co/Jqo7JWZtYi

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/Y1WLnJVsff","IAMBLOG2TWITTER","227",NA,NA,NA,"FALSE","FALSE","0","0","NA","NA","c(""ContinuingEducation"", ""DigitalLearning"", ""Education"", ""EduTech"", ""HigherEducation"", ""Learning"", ""LifelongLearning"", ""Media"", ""OnlineLearning"", ""School"")",NA,"blog.iammarketingmedia.com/north-callaway…","https://t.co/Jqo7JWZtYi","https://blog.iammarketingmedia.com/north-callaway-school-board-profiles-schmidt-and-wall/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter","http://pbs.twimg.com/media/EZZ4ayzXQAA2H5G.jpg","https://t.co/Y1WLnJVsff","https://twitter.com/IAM__Network/status/1267332748508790790/photo/1","photo","http://pbs.twimg.com/media/EZZ4ayzXQAA2H5G.jpg","https://t.co/Y1WLnJVsff","https://twitter.com/IAM__Network/status/1267332748508790790/photo/1",NA,NA,NA,"en",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,"NA",NA,"NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,"NA",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/IAM__Network/status/1267332748508790790","IAM Platform","Worldwide","Curation | Tools | Tips | Services

IAM Platform powers IAM Network:

GO: https://t.co/OJVc7LULBT

Blog | Social | Podcast | Code Trove","https://t.co/T1FCdoOFoB","FALSE","17400","14964","3292","646445","65486","1292275469","FALSE","https://t.co/T1FCdoOFoB","https://www.iammarketingmedia.com","NA","https://pbs.twimg.com/profile_banners/226310002/1584072260","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/701708113653669888/Nzm67hhC_normal.png"
